time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.609599298946996e-08,-2.3529505374096694e-08,10.002652601417536,6.283152140811154,6.283011677564051,0.0,1.0835096219743704e-05,-2.4238770347109725e-06,0.08841658864866098,-0.001681989955072162,-0.0094215946504086,0.0,434.1283692205183,433.33730486494477,432.75571487476435,432.61415078385943
0.12000000000000001,6.836296280105535e-06,-1.1026617394462058e-06,10.01208473304078,5.637600167318624e-05,6.282395992255896,0.0,0.0002776292467777039,-3.34539087336364e-05,0.22596980142997103,0.007186184448702235,-0.011996321557492156,0.0,448.40190273779945,448.1928532708693,448.69045826426026,449.4096883923209
0.18,4.467950234364931e-05,-2.4839126989718938e-08,10.03084069414455,0.0004520458336934041,6.281492046684189,0.0,0.001074440763698739,0.00011606206613268052,0.39918360295284094,0.005384014726607583,-0.022045983509659185,0.0,460.4107401519845,459.6151798920837,459.2948019176048,459.1517660750264
0.23999999999999996,0.00014758303680222702,1.7066472718903036e-05,10.056977497461189,0.0004186941165356117,6.280200515055267,0.0,0.00248368520680646,0.0004716972909753628,0.4720151100908603,-0.016385783374330706,-0.020504520152942407,0.0,429.20928735243143,429.34004607075934,428.4002455786126,426.5454662055433
0.3,0.00036273874664622573,5.015090228563355e-05,10.088230294919914,6.282381123701516,6.2789862089982975,0.0,0.004812288014425035,0.0005205146409925712,0.5697002086025859,-0.02989148913906051,-0.01971154984998008,0.0,436.8688580293258,436.9349775091139,436.4937646524373,435.36537173943856
0.36000000000000004,0.0007428768147122273,5.7764675805412456e-05,10.12557345843399,6.280176873644747,6.278279818762458,0.0,0.00795227159674605,-0.00046620210034247205,0.6750143718656321,-0.056187358095479055,0.0006487496556289909,0.0,438.0121914592468,439.7020041275166,440.1113385443391,437.929004781621
0.4200000000000001,0.001328200953195788,-5.011444905712912e-05,10.17051927273821,6.276281821502847,6.27788811393984,0.0,0.011570112835247993,-0.0035123303936443655,0.8230824134445062,-0.09476896556787083,-0.027473567578601636,0.0,452.93047605836097,450.6634537845747,454.5273813423476,451.421575949059
0.48000000000000015,0.0021651203860254603,-0.00046392168383959054,10.227765610662594,6.270560666291161,6.275754607907235,0.0,0.01655224995331599,-0.010997931873156615,1.0849098471095031,-0.09654523225810194,-0.06120356874934184,0.0,488.48845965309476,485.9663485938579,485.37204280726723,485.23183261065554
0.5400000000000001,0.003322191954251819,-0.0014006264731363021,10.295426205832696,6.264973242351546,6.27220404055033,0.0,0.02237645536823189,-0.020791733588859496,1.1703478782185235,-0.08703857301915467,-0.055403285024414294,0.0,432.3894555100815,432.8751984823645,433.9343694356,434.7239879035609
0.6000000000000002,0.004918475327643763,-0.003066802655628008,10.369853237241818,6.260285806749273,6.26871020879873,0.0,0.03119845961228874,-0.03527468665947156,1.3103875138893795,-0.06452697609941191,-0.06458491593973432,0.0,450.1334213828379,449.38752519856996,451.0438878603732,452.8531091809374
0.6600000000000003,0.007141950702169624,-0.00572961710848859,10.453945080236268,6.256313220001394,6.264623073147323,0.0,0.0433672239547021,-0.05392782639315054,1.4924352655977198,-0.06980586315903207,-0.07633307260779618,0.0,464.0628065749213,463.13646214372955,464.57785322930846,464.16073760044503
0.7200000000000003,0.0101976205187673,-0.009611206409940048,10.549190016483418,6.252131120002353,6.259954158203943,0.0,0.05901636506173993,-0.07593341922151078,1.6821105711214126,-0.06949419284682688,-0.08095584137572943,0.0,468.0950748859733,467.73073145369693,465.6344322333782,465.655357175598
0.7800000000000004,0.014270171297437932,-0.014868100568330416,10.654473310928251,6.247569966034396,6.255100253453328,0.0,0.07725771613735713,-0.09975777521179707,1.8270816164065882,-0.09410825050192885,-0.08078387352804081,0.0,453.51045763612126,453.51912941939,455.22886752882175,453.25044020572716
0.8400000000000004,0.019633830697378493,-0.021774475874819517,10.771548653539526,6.2419568393822455,6.250391466214854,0.0,0.10211043982991654,-0.13113612808572556,2.0749663864229206,-0.09246319124024936,-0.07423197383025947,0.0,485.52621426582857,486.0131283471491,484.06826050782433,484.18540717394075
0.9000000000000005,0.02641799307059048,-0.030469013921468308,10.897943850965943,6.236873963741125,6.246490499514035,0.0,0.12442338080045896,-0.1591862861414147,2.1380509016518467,-0.07253560506065831,-0.05106480315000601,0.0,427.9392461084257,429.90314901421624,429.4591820557436,431.13969878376355
0.9600000000000005,0.034695809037185804,-0.041046800697378205,11.030337423110337,6.232488086148301,6.2432133060180846,0.0,0.15183320540463519,-0.19386309709748126,2.2747648742520994,-0.07424642415554017,-0.06289278476805416,0.0,453.90801709167835,452.95587617196713,453.05444220458554,452.9128334119116
1.0200000000000005,0.044644246355624105,-0.05374147080153438,11.169773245005683,6.228130025368808,6.240228025976297,0.0,0.18010842674938518,-0.2297298672273008,2.372852676384941,-0.0695924148588203,-0.031630618445566715,0.0,441.0765802198305,443.64891635920685,441.0842403827617,441.46427436972584
1.0800000000000005,0.056538629019510046,-0.06892709704738251,11.319561043706358,6.22366105310217,6.237870085276221,0.0,0.21660037051835748,-0.27695912151925417,2.619490333090424,-0.08669464806580347,-0.06264680286154246,0.0,487.1306683817878,484.80501946337387,488.64167253021196,487.3612099705454
1.1400000000000006,0.0705269695733933,-0.08684790706756954,11.480607143543862,6.219436541280352,6.234594439752243,0.0,0.250033095737101,-0.3208708256585331,2.74835248722499,-0.049425392932136956,-0.042034702859257575,0.0,452.01850708763885,453.6744333155882,452.05812543703803,455.0470350670041
